Title,Year,Genre,Plot,Kind
Too Hot to Handle,1977,"Action, Drama, Thriller","Gorgeous blonde assassin Samantha Fox accepts a contract to liquidate a quintet of gangsters in the Philippines. Problems ensue when she falls in love with the Manila detective investigating the killings. Plenty of sleaze, sex and action in this actioner filmed on location.Written byMarty McKee mailto: <mmckee@soltec.net>",movie
Bedtime Stories,2002,"Drama, Romance",,movie
Tayong dalawa,2009,Drama,"David ""JR"" Garcia Jr. was born into a poor family. His father, David Garcia Sr., deserted his mother before he was born because his wife, Ingrid Garcia was pregnant with David ""Dave"" Garcia Jr. When Audrey King and her family went to Tagaytay for a visit, she fell from a set of high stairs. If it were not for David ""JR"" Garcia, who caught her, she probably would have died. When he gets help, she asks for his name. He tells her that he is David Garcia Jr. When she gets to the hospital and is asked who saved her, she says it's David Garcia Jr. David ""Dave"" Garcia Jr. is the one who is credited. She did not realize that he is a different boy. As she grows up falling in love with Dave, Dave meets his brother and soon best friend, JR. These two do not realize that they are brothers. Dave's grandmother, Elizabeth, suspects and so does JR's mother, Marlene, but nothing stops these two from becoming best friends. Audrey's father then sends her to Cebu to study there, but not before she meets ...Written byAnonymous",tv series
Bonifacio: Ang unang pangulo,2014,"Drama, History","The true story of Andres Bonifacio, a man who rose as a leader in the fight against the Spanish oppressors, and would gain the enmity of even those fighting for the same cause.",movie
Caregiver,2008,Drama,"Sarah Gonzales, a grade school English teacher, joins the 150,000 Pinoy OFWs working in the United Kingdom to support her husband, Teddy Gonzales, in making a better living for their family. More than just a chronicle of the Filipino experience working as nurses and caregivers in the U.K., this story also charts Sarah's journey to self-discovery - from a submissive wife who makes sacrifices to make way for her Teddy's aspirations to an empowered woman who finds dignity and pride in a humbling job as a caregiver in London.Written byanonymous",movie
Pagpag: Siyam na buhay,2013,Horror,A spirit of a recent dead man hunts down nine persons and tries to kill them after the victims ignored some superstitions during his wake. One of it being that no one should go home directly after visiting a wake so that the spirit of the dead will not follow.Written bycinesum,movie
Mga kuwentong barbero,2013,"Drama, History","Barber's Tales tells the story of newly widowed Marilou who inherits the town's only barbershop from her husband- a business that has been passed down by generations of men in her husband's family. With no other means of support, she musters the courage to run the barbershop. But as to be expected, she fails to attract any customers. But a touching act of kindness she extended to Rosa, a prostitute who works in the town brothel, leads to an unexpected opportunity. Rosa, who now considers Marilou a friend, urges her prostitute friends to pressure their male clientele into patronizing Marilou's barbershop. The men have no choice but to grudgingly oblige out of fear that Rosa will expose their infidelity to their wives.Written byAnonymous",movie
Little Nanay,2015,Drama,"Tinay is an orphaned young woman who has a special condition. Despite the challenges around her condition, Tinay finds love and care through her grandparents Annie and Berto, stepbrothers Peter and Bruce, and close childhood friend, Archie. Because of her limited understanding of sex, Tinay confuses it with physical exercise and in one of her play sessions with Archie, they accidentally have pre-martial sex. Once her grandparents learn about what had happened, they demand Archie to marry Tinay or else answer rape charges. Archie, who is not emotionally ready to start a married life with Tinay, fless the country and migrates to the United States with the help of his parents. Shortly after, Tinays family discovers that she is pregnant with Archies child.",tv series
Be Careful with My Heart,2012,"Comedy, Romance","A simple girl, Maya De La Rosa, her older sister, Cristina Rose, and Cristina's son are introduced as tour guides for their hometown, San Nicolas, with their mother running a souvenir shop. Money is often less than the living expenses and household repairs. Cristina hopes to work at sea while Maya dreams of becoming a flight stewardess. One rainy night, after an attempt to fix the roof, Cristina breaks her leg and is thus unable to complete her schooling to become a sea woman. With a large medical bill, the future and current expenses, Maya deemed it necessary to work overseas for two years to help her family. Upon arrival in Manila, Maya discovers that the woman who had offered work overseas had swindled her. Maya is stuck in Manila with no money or place to go. Relentless, Maya allows no one to stop her, not even the handsome, wealthy widower Richard Lim, who reminds her of her shortcomings. Ironically, Richard is her last hope because of his influence in the airline industry. He ...Written byWikipedia",tv series
100 tula para kay Stella,2017,Romance,"In 2004, Fidel Lansangan (JC Santos) and Stella Puno (Bela Padilla) meet each other as freshmen college students in Pampanga pursuing a bachelor's degree in Psychology. They became friends despite differences in their personalities; Fidel is an honor student with a speech impediment and loves poetry while Stella is a rocker with a tough and confident attitude who prefers to jam with her band rather than to do her studies. Fidel begins to write poems to express his love to Stella but does not have the confidence to read these to her. Stella on her had various boyfriends as she pursues her goal of securing a recording contract. The film's story spans for four whole years of Fidel and Stella's college life and revolves around the question whether Fidel can muster enough.",movie
Caged Heat II: Stripped of Freedom,1994,"Action, Crime, Thriller","King Lim is the oppressive ruler of a country on the verge of revolution. The CIA arranges a fake assassination to get him safely out of the country, but his daughter is captured in the ensuing melee and sent to The Rock, an island penitentiary known for its harshness. Agent Amanda commits a local crime in order to infiltrate the prison and rescue Princess Marga. Within, she predictably encounters official corruption, shifting allegiances, and a sleazy warden that make her task more challenging.Written byEd Sutton <esutton@mindspring.com>",movie
